Operador,Nota,Nota da Org
•Jake Cote,10,10
•Jake Cote,10,10
•Rose Calderon,10,10
•Jake Cote,10,6
•Rose Calderon,10,10
•Cydney Drake,10,10
•Jake Cote,10,5
•Cydney Drake,10,5
•Cydney Drake,9,5
•Rose Calderon,10,10
•Jake Cote,10,10
•Rose Calderon,10,10
•Jake Cote,6,1
•Cydney Drake,8,4
•Cydney Drake,10,10
•Rojin Woodcock,10,6
•Rojin Woodcock,10,3
•Rojin Woodcock,10,10
•Rose Calderon,10,8
•Cydney Drake,10,9
•Jake Cote,10,10
•Jake Cote,10,6
•Rojin Woodcock,1,1
•Rojin Woodcock,10,10
•Rojin Woodcock,10,10
•Rose Calderon,10,10
•Rose Calderon,10,10
•Rose Calderon,10,4
•Jake Cote,5,2
•Jake Cote,10,10
•Jake Cote,10,8
•Jake Cote,10,5
•Jake Cote,10,10
•Dionne Compton,10,7
•Neha Clemons,9,1
•Dionne Compton,10,10
•Neha Clemons,10,10
¶Ned Hamilton,9,9
•Dionne Compton,10,8
•Dionne Compton,10,10
•Mariyam Mcgill,10,10
•Neha Clemons,10,8
•Yara Wright,10,10
•Mariyam Mcgill,10,7
•Neha Clemons,10,10
•Yara Wright,9,7
•Dawson Clifford,10,10
•Bethan Hills,10,10
¶Ned Hamilton,10,6
•Yara Wright,9,5
•Dawson Clifford,10,10
•Harleigh Stone,1,1
•Derek Webber,10,5
•Harleigh Stone,2,1
•Asha Reese,10,10
•Dionne Compton,10,7
•Harleigh Stone,10,10
•Owen Ruiz,9,5
•Phyllis Barron,10,6
•Harleigh Stone,10,10
•Jolene Mcgowan,10,8
•Bethan Hills,1,1
•Asha Reese,1,1
•Bethan Hills,10,8
•Lucie Campbell,8,8
•Bethan Hills,10,10
•Khaleesi Richmond,10,10
•Lucie Campbell,10,10
•Mariyam Mcgill,10,3
•Jem Davey,10,8
•Lucie Campbell,10,10
•Kwame Castillo,10,9
•Owen Ruiz,9,6
•Asha Reese,10,10
¶Ned Hamilton,10,10
•Ivor Woodard,10,10
•Phyllis Barron,9,1
•Neha Clemons,10,7
•Alexandria Murphy,10,10
¶Ned Hamilton,10,7
•Hari Waters,10,8
•Ivor Woodard,10,7
•Jem Davey,10,3
•Dawson Clifford,9,6
•Yara Wright,10,10
